sample	fq1	fq2
F3D0	sample.F3D0_S188_L001_R1_001.fastq	sample.F3D0_S188_L001_R2_001.fastq
F3D141	sample.F3D141_S207_L001_R1_001.fastq	sample.F3D141_S207_L001_R2_001.fastq
F3D142	sample.F3D142_S208_L001_R1_001.fastq	sample.F3D142_S208_L001_R2_001.fastq
F3D143	sample.F3D143_S209_L001_R1_001.fastq	sample.F3D143_S209_L001_R2_001.fastq
F3D144	sample.F3D144_S210_L001_R1_001.fastq	sample.F3D144_S210_L001_R2_001.fastq
F3D145	sample.F3D145_S211_L001_R1_001.fastq	sample.F3D145_S211_L001_R2_001.fastq
F3D146	sample.F3D146_S212_L001_R1_001.fastq	sample.F3D146_S212_L001_R2_001.fastq
F3D147	sample.F3D147_S213_L001_R1_001.fastq	sample.F3D147_S213_L001_R2_001.fastq
F3D148	sample.F3D148_S214_L001_R1_001.fastq	sample.F3D148_S214_L001_R2_001.fastq
F3D149	sample.F3D149_S215_L001_R1_001.fastq	sample.F3D149_S215_L001_R2_001.fastq
F3D150	sample.F3D150_S216_L001_R1_001.fastq	sample.F3D150_S216_L001_R2_001.fastq
F3D1	sample.F3D1_S189_L001_R1_001.fastq	sample.F3D1_S189_L001_R2_001.fastq
F3D2	sample.F3D2_S190_L001_R1_001.fastq	sample.F3D2_S190_L001_R2_001.fastq
F3D3	sample.F3D3_S191_L001_R1_001.fastq	sample.F3D3_S191_L001_R2_001.fastq
F3D5	sample.F3D5_S193_L001_R1_001.fastq	sample.F3D5_S193_L001_R2_001.fastq
F3D6	sample.F3D6_S194_L001_R1_001.fastq	sample.F3D6_S194_L001_R2_001.fastq
F3D7	sample.F3D7_S195_L001_R1_001.fastq	sample.F3D7_S195_L001_R2_001.fastq
F3D8	sample.F3D8_S196_L001_R1_001.fastq	sample.F3D8_S196_L001_R2_001.fastq
F3D9	sample.F3D9_S197_L001_R1_001.fastq	sample.F3D9_S197_L001_R2_001.fastq
Mock	sample.Mock_S280_L001_R1_001.fastq	sample.Mock_S280_L001_R2_001.fastq
